Date,Time,Lat,Long,Alt,DIN2,SSID,WIFI,INT,Registration
06/10/2025,14:21:13,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:21:23,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:21:33,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:21:43,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:21:53,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:22:03,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:22:13,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:22:23,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:22:33,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:22:44,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:22:54,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:23:04,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:23:14,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:23:24,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:23:34,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:23:44,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:23:54,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:24:04,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:24:14,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:24:24,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:24:34,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:24:44,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:24:55,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:25:05,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:25:15,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:25:25,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:25:35,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:25:45,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:25:55,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:26:05,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:26:15,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:26:25,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:26:35,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:26:45,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:26:56,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:27:06,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:27:16,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:27:26,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:27:36,,,,,SDL-Maintenance,1,0,SDL-Maintenance
